"","mean.diff","mean.1","mean.2","t","df","p.val","p.val.adj","description","cell.up","ligand.up","receptor.in.path","ligand.in.path"
"Positive.regulation.of.cell.death",0.0545754060892658,-0.0570303599450751,-0.111605766034341,11.7597560748955,450.701797875829,4.96315514019488e-28,6.56202391019055e-28,"Positive regulation of cell death","6;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Rhob;Kcnk2"
"Regulation.of.neuron.projection.development",0.26531209628668,0.197720761273269,-0.0675913350134106,43.7188547813228,407.37927303601,6.33907473957469e-156,1.35738883010458e-154,"Regulation of neuron projection development","6;6;8;10;11;15;6","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1",NA
"Positive.regulation.of.neuron.projection.development",0.235283746043192,0.254127260229663,0.0188435141864715,35.7383178630367,396.909790631112,4.04336998584448e-126,2.39922857593784e-125,"Positive regulation of neuron projection development","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Negative.regulation.of.neuron.projection.development",0.267935631511181,0.16017618390261,-0.107759447608571,28.4396392454103,407.307829929804,8.67236183511323e-99,2.90553619305664e-98,"Negative regulation of neuron projection development","6","Dkk3","Lgals1",NA
"Programmed.cell.death",0.0246676227336625,-0.0846730573652488,-0.109340680098911,6.33042210096301,416.135671128201,6.3375418600851e-10,7.26714637041191e-10,"Programmed cell death","6;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Rhob;Hspa1b"
"Response.to.organic.cyclic.compound",0.157496513775667,0.0385910927590646,-0.118905421016602,35.4340711207676,442.257126134393,2.86036629836022e-131,2.07166235579766e-130,"Response to organic cyclic compound","6;6;8;10;11;15;6","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1",NA
"Response.to.isoquinoline.alkaloid",0.0610844681335073,0.31603739053135,0.254952922397842,6.15264827811766,387.152592363777,1.90300220430103e-09,2.17454428217693e-09,"Response to isoquinoline alkaloid","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Striated.muscle.tissue.development",0.222169862135549,0.188089895246713,-0.0340799668888359,32.127644894099,366.666845426383,1.19306986056365e-108,4.91704524123514e-108,"Striated muscle tissue development","6;10;15;1;10;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1","Kcnk2"
"Striated.muscle.cell.proliferation",0.208608438876421,0.280249623078504,0.0716411842020828,17.8159052650382,393.169521519393,1.77706516748021e-52,2.8884640098482e-52,"Striated muscle cell proliferation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Kcnk2"
"Muscle.hypertrophy",0.19799223117689,0.0304960467601322,-0.167496184416758,15.6299507987024,373.224050396285,1.01573016492341e-42,1.52282224117132e-42,"Muscle hypertrophy","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Striated.muscle.hypertrophy",0.19799223117689,0.0304960467601322,-0.167496184416758,15.6299507987024,373.224050396285,1.01573016492341e-42,1.52282224117132e-42,"Striated muscle hypertrophy","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Myotube.differentiation",0.0405852450197777,-0.013882074839327,-0.0544673198591048,5.20014615167444,407.837751747471,3.15753294278773e-07,3.52626978304525e-07,"Myotube differentiation","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1","Ccl8"
"Protein.transport",0.0591188974409679,-0.0552914984019732,-0.114410395842941,16.4612055972773,482.398101975482,1.21272456914295e-48,1.89308034961301e-48,"Protein transport","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Rhob"
"Peptide.transport",-0.155337842609609,-0.122840878704495,0.0324969639051143,-21.2619466847872,403.459575998976,7.66712965922571e-68,1.55383145922738e-67,"Peptide transport","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Amine.transport",-0.244858585505896,-0.275893188080306,-0.0310346025744097,-21.1942601516917,471.962344607091,1.52891782993092e-70,3.25266536173209e-70,"Amine transport","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Organic.hydroxy.compound.transport",0.0342928707362554,0.0120835861416213,-0.0222092845946341,5.65524506478957,416.867456650787,2.89355723339584e-08,3.26478107089909e-08,"Organic hydroxy compound transport","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Viral.process",0.02133817004042,-0.120636950934497,-0.141975120974917,3.60238362396149,434.049544093613,0.000351795736755799,0.000378709071808155,"Viral process","6","Dkk3","Lgals1",NA
"Lipid.catabolic.process",-0.101719638695956,-0.298379153952382,-0.196659515256427,-12.3918991916027,535.90995244672,3.46817684159748e-31,4.71844501239437e-31,"Lipid catabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Cellular.component.organization",0.207151874160878,0.0956990884404168,-0.111452785720461,46.9782769188777,389.477430696445,1.57471218788825e-162,5.34859139679286e-161,"Cellular component organization","2;3;4;6;6;11;10;15;6;6;6;8;10;11;15;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Ccl8;Hspa1b;Dact1;Prdx4;Macf1;Npy"
"Cell.growth",0.251916923641528,0.110688858719951,-0.141228064921577,36.5176858634014,397.706582365519,4.28008996177202e-129,2.88759493996263e-128,"Cell growth","6","Sult5a1","Nrn1",NA
"Organic.acid.catabolic.process",-0.21163913920255,-0.165174751616902,0.0464643875856479,-27.0579123587971,412.627421299553,1.82512347951685e-93,5.63556936465235e-93,"Organic acid catabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Immunoglobulin.mediated.immune.response",-0.0201592573823893,-0.106075091396412,-0.0859158340140226,-2.64950692555976,477.82386442571,0.00832802721442714,0.00870818132294133,"Immunoglobulin mediated immune response","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"RNA.metabolic.process",0.0915333714365744,-0.0161917023561426,-0.107725073792717,22.0264479201165,398.288663970337,6.75725724558877e-71,1.45962683923354e-70,"RNA metabolic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1"
"Vesicle.mediated.transport",0.00580378165676539,-0.121657752074894,-0.127461533731659,1.68938901057216,493.981772606314,0.0917758985196625,0.0944610867731113,"Vesicle-mediated transport","6;9;10;14;15;6;6;6;8;10;11;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","C2;C2;C2;C2;C2;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Rhob;Hspa1b"
"Phosphorylation",0.0935056500627539,-0.0339446930540919,-0.127450343116846,22.1986395434458,385.738471667212,6.174289001071e-71,1.33663179473735e-70,"Phosphorylation","10;15","Ramp2;Ramp2","Pmepa1;Pmepa1",NA
"Dephosphorylation",-0.0989056266307571,-0.116740623491476,-0.0178349968607187,-17.472596531846,445.058827010623,1.9556308300532e-52,3.16825060460922e-52,"Dephosphorylation","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Regulation.of.transforming.growth.factor.beta.receptor.signaling.pathway",0.276272284667428,0.11989018661517,-0.156382098052258,26.3778651913214,371.092474585215,4.0839409348011e-87,1.16599473066061e-86,"Regulation of transforming growth factor beta receptor signaling pathway","2;3;4;6;6;11;10;15","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1","Itga8"
"Regulation.of.exocytosis",-0.148941192406885,0.00820635124049611,0.157147543647381,-17.2411813844404,384.430106951472,9.35352713807355e-50,1.47647824214783e-49,"Regulation of exocytosis","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Heterocycle.biosynthetic.process",0.0816170107978029,-0.00897896712349934,-0.0905959779213023,20.2611994709188,383.79921662612,1.35810143431961e-62,2.52879000530211e-62,"Heterocycle biosynthetic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Viral.life.cycle",0.050682632684551,-0.0778374200753101,-0.128520052759861,7.90502133573227,421.624502913245,2.36495366882632e-14,2.79649383408634e-14,"Viral life cycle","6","Dkk3","Lgals1",NA
"Regulation.of.lipid.metabolic.process",0.0828625214426983,-0.061651347697586,-0.144513869140284,15.039164900702,482.779116248712,3.35138415093828e-42,5.00168695253667e-42,"Regulation of lipid metabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3"
"Regulation.of.fatty.acid.metabolic.process",-0.228753330857937,-0.377805252727382,-0.149051921869445,-23.6776786351562,452.494154437593,3.18903032264475e-81,8.15894770858461e-81,"Regulation of fatty acid metabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.nucleobase.containing.compound.metabolic.process",0.0792766912933656,-0.00846903199615484,-0.0877457232895205,19.7521596457383,393.222644200513,8.0021708022005e-61,1.45159083612661e-60,"Regulation of nucleobase-containing compound metabolic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Regulation.of.phosphate.metabolic.process",0.0901903943208879,-0.0317992556310946,-0.121989649951982,21.5052523966161,384.071318992895,6.69295304154674e-68,1.36775077716256e-67,"Regulation of phosphate metabolic process","1;10;15;10;15","Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2","Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1",NA
"Regulation.of.metabolic.process",0.0708388087406834,-0.0467641819159088,-0.117602990656592,25.3277942863451,407.922574314988,1.00622276384784e-85,2.79191386588767e-85,"Regulation of metabolic process","6;10;15;6;1;10;15;2;3;4;6;6;11;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Itga8;Hspa1b;Dact1;Kcnk2"
"Sensory.perception.of.pain",-0.0969981751560207,-0.199816445703243,-0.102818270547222,-15.0080387735135,415.489919077615,5.46385861124892e-41,8.04469466678652e-41,"Sensory perception of pain","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Fatty.acid.oxidation",-0.0993914910844226,-0.20771264514637,-0.108321154061948,-9.58856038291643,439.914060120024,6.70817253362003e-20,8.26977465033257e-20,"Fatty acid oxidation","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Aromatic.compound.biosynthetic.process",0.0717985757896523,-0.00930313970529665,-0.0811017154949489,18.7318597416646,383.775151628837,4.51844135522897e-56,7.68681301364513e-56,"Aromatic compound biosynthetic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Protein.metabolic.process",0.148286278163928,0.0550249159760833,-0.0932613621878448,42.5341680810953,388.970708594957,2.34083537601486e-148,2.9944452537333e-147,"Protein metabolic process","1;10;15;6;9;10;14;15;10;15","Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ramp2;Ramp2","Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Pmepa1;Pmepa1","Hspa1b;Dact1;Prdx4"
"Organophosphate.metabolic.process",0.0251350818072874,-0.0972241762561175,-0.122359258063405,4.72038352397089,389.88046929028,3.28761835582726e-06,3.62632035889121e-06,"Organophosphate metabolic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Calcium.mediated.signaling",-0.138137726050499,-0.174063717390816,-0.0359259913403173,-24.0493101182567,444.457952301534,1.8207601463195e-82,4.74457339715531e-82,"Calcium-mediated signaling","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"B.cell.mediated.immunity",-0.00576035901073998,-0.0884659978992353,-0.0827056388884953,-0.771262489842797,478.649861810725,0.440931925612526,0.445454304336757,"B cell mediated immunity","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Cellular.homeostasis",-0.011929205596596,-0.0902618528659974,-0.0783326472694015,-3.03641164571035,435.004724766968,0.00253801095500373,0.00268810837707384,"Cellular homeostasis","6;6;8;10;11;15;10;15;6","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a;Dkk3","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3;Lgals1","Prdx4"
"Antimicrobial.humoral.response",-0.163185467793156,-0.0805682095904737,0.0826172582026826,-17.9121860594527,442.430873544002,2.36399409303941e-54,3.94666810448105e-54,"Antimicrobial humoral response","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Npy"
"Polyol.metabolic.process",0.145290988935912,-0.0586125141393436,-0.203903503075256,11.7457216916142,384.427307499698,1.97819993679994e-27,2.58768517629209e-27,"Polyol metabolic process","6","Dact1","Pcbd1",NA
"Carboxylic.acid.metabolic.process",0.0604242446158071,-0.0726389567448573,-0.133063201360664,12.9793891107671,442.191556761149,7.26800204505841e-33,1.00125622578777e-32,"Carboxylic acid metabolic process","6;6;6;8;10;11;15","Dact1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Pcbd1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Second.messenger.mediated.signaling",-0.0684329806835678,-0.0912662646133752,-0.0228332839298073,-13.3141681210756,385.571419060595,1.53618829656535e-33,2.12819335037535e-33,"Second-messenger-mediated signaling","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Sexual.reproduction",0.120305576102004,0.0921497042960731,-0.0281558718059313,20.4068991442746,394.24043151238,1.07438679860336e-63,2.04299420197743e-63,"Sexual reproduction","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Hspa1b;Prdx4"
"Neurogenesis",0.208488259166096,0.137765709388141,-0.0707225497779552,44.5292334532612,380.85390948231,4.69925028027058e-153,8.26564558226164e-152,"Neurogenesis","6;6;6;8;10;11;15;6","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dact1;Npy"
"Regulation.of.cell.cell.adhesion",-0.126761320365644,-0.228840463053449,-0.102079142687805,-28.9823031562717,427.656754902984,5.88754753931329e-103,2.13207144346456e-102,"Regulation of cell-cell adhesion","6","Dkk3","Lgals1",NA
"Positive.regulation.of.cell.cell.adhesion",-0.169507079436858,-0.287686505395937,-0.118179425959079,-36.2254958752752,500.120815976736,6.208248855069e-142,6.11512512224297e-141,"Positive regulation of cell-cell adhesion","6","Dkk3","Lgals1",NA
"Reproductive.process",0.209630406686986,0.170840903179958,-0.0387895035070284,43.1817238910589,391.153409380409,6.62649197975283e-151,1.01985853125883e-149,"Reproductive process","6;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Hspa1b;Prdx4"
"Regulation.of.anatomical.structure.morphogenesis",0.157719406031415,0.0398942209002088,-0.117825185131207,31.5294212673029,429.117413734573,8.7685454329278e-114,4.01721732624832e-113,"Regulation of anatomical structure morphogenesis","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Rhob;Dact1"
"Cellular.component.assembly",0.170252210310279,0.0605547951537152,-0.109697415156564,35.9443000379029,405.773053258407,3.49416282227417e-128,2.29450025329337e-127,"Cellular component assembly","10;15","Ramp2;Ramp2","Pmepa1;Pmepa1","Hspa1b;Dact1"
"Biological.adhesion",0.114149917404479,0.0273685719434697,-0.0867813454610095,34.5017931934588,388.303691401318,2.54612872002319e-120,1.33400893043768e-119,"Biological adhesion","2;3;4;6;6;11;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Dkk3","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Lgals1","Itga8;Rhob;Gbp6"
"Regulation.of.signaling",0.0860292008320638,-0.0158522992458272,-0.101881500077891,29.7176842308472,411.217204362708,1.9388795446225e-104,7.37373108669174e-104,"Regulation of signaling","6;10;15;1;10;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Itga8;Ccl8;Dact1"
"Signaling",0.024859957160048,-0.0700117831025418,-0.0948717402625898,11.7395965656912,431.974154776662,8.2174328495265e-28,1.08066373254788e-27,"Signaling","6;10;15;1;10;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Itga8;Rhob;Ccl8;Dact1;Kcnk2;Npy"
"Positive.regulation.of.signaling",0.0448392823298876,-0.0554872409696664,-0.100326523299554,16.0771386156636,445.585832027353,3.38082403412947e-46,5.16296383506593e-46,"Positive regulation of signaling","6;10;15;2;3;4;6;6;11;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Ccl8;Dact1"
"Negative.regulation.of.signaling",0.135216505385247,0.0545742999772284,-0.0806422054080186,29.4960884136609,375.212178352331,8.99796225247988e-100,3.08815080790686e-99,"Negative regulation of signaling","1;10;15;10;15","Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2","Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1","Dkk3;Dact1"
"Signal.release",-0.0943429533843659,-0.00809439073257307,0.0862485626517929,-20.6868408759373,410.934920788853,1.14825312270565e-65,2.24410580528782e-65,"Signal release","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Cellular.cation.homeostasis",-0.0942776462850596,-0.136081083737485,-0.0418034374524259,-23.3409341289117,421.914188149064,5.65887268900954e-78,1.35291009676563e-77,"Cellular cation homeostasis","6;6;8;10;11;15;10;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3",NA
"Cell.projection.organization",0.201005985876197,0.121800608315665,-0.0792053775605316,35.4970973402596,377.499645925855,2.42082888402842e-122,1.28892781122595e-121,"Cell projection organization","2;3;4;6;6;11;6;6;6;8;10;11;15;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Dact1;Npy"
"Peptide.hormone.secretion",-0.0909747397778941,-0.0746327706956397,0.0163419690822544,-14.3533092524372,416.565084467787,3.03160159055892e-38,4.35931031635115e-38,"Peptide hormone secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Insulin.secretion",-0.0590427574686316,-0.0989217026363333,-0.0398789451677017,-7.76677625161649,432.064871872538,5.9063073254003e-14,6.95898650181734e-14,"Insulin secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Hemopoiesis",-0.0547210703594153,-0.199284177851406,-0.14456310749199,-15.4340525267904,476.332710056343,7.14769303903811e-44,1.08315040668501e-43,"Hemopoiesis","6","Dkk3","Lgals1",NA
"Lymphocyte.differentiation",-0.160007129220476,-0.322230971523841,-0.162223842303366,-35.1825795605125,615.489012039807,1.85832338141457e-149,2.47357909553156e-148,"Lymphocyte differentiation","6","Dkk3","Lgals1",NA
"Cell.differentiation",0.137726443928042,0.034854684692625,-0.102871759235417,40.0693838464963,392.675564970606,8.26585108354002e-141,7.98221893851658e-140,"Cell differentiation","6;10;15;1;10;15;2;3;4;6;6;11;6;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Ccl8;Dact1;Npy"
"Regulation.of.cell.adhesion",0.0389998961500625,-0.074118123242059,-0.113118019392122,11.2726322035022,418.545888550979,6.41222891101562e-26,8.25626859784365e-26,"Regulation of cell adhesion","6","Dkk3","Lgals1",NA
"Neuron.differentiation",0.217479396016809,0.159689703533877,-0.0577896924829316,39.6815702087839,372.652115379262,7.18652916894632e-136,5.6629849851297e-135,"Neuron differentiation","6;6;6;8;10;11;15;6","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Dact1;Npy"
"B.cell.differentiation",-0.201153762575643,-0.278564674388123,-0.0774109118124797,-29.058217169991,660.248538220397,3.34344827339273e-120,1.74248494671526e-119,"B cell differentiation","6","Dkk3","Lgals1",NA
"Extracellular.matrix.organization",0.469163401421101,0.375142173903024,-0.0940212275180771,69.9108036693223,366.414266077423,5.67498308755491e-214,6.98732292655198e-212,"Extracellular matrix organization","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Prdx4"
"Lipid.modification",-0.0105858810884791,-0.138253091292479,-0.127667210204,-1.29810970245926,420.097506502062,0.194961863027725,0.199830837754745,"Lipid modification","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Respiratory.tube.development",0.364478127596654,0.217299424888771,-0.147178702707882,43.0820054774428,373.286545400282,6.2344063497404e-147,7.48889055426133e-146,"Respiratory tube development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
